participant,fluency_score,school,Age,Sex,Nationality,Ethnicity,StudyLevel,Major,ParentalEdu,Handedness,PastMedDiagnosis,NativeLang,SecondLang,MathLang_Primary,MultLang,SecondLang_score1,SecondLang_type1,SecondLang_score2,SecondLang_type2,SecondLang_score3,SecondLang_type3,SecondLang_score4,SecondLang_type4,SecondLang_score5,SecondLang_type5,SecondLang_score6,SecondLang_type6,SecondLang_score7,SecondLang_type7,SchoolType_Primary,MathDiff,MultLearning_normal,MultLearning_time,MultLearning_peers,MultLearning_score,ReadingProblem,MathAnxiety,ExamAnxiety,MemoryAnxiety,num_Seclanguages,avg_score,SameLang_pri,SameLang_Mult
UN-2367,39,NOTTINGHAM,19.61186440677966,Female,Malaysian,Chinese,Freshman/First Year,Psychology,"Yes, mother only",Right,No,Chinese,Yes,English,Chinese,60,English,50,Malay,40,Hokkien,30,Cantonese,NA,NA,NA,NA,NA,NA,Public,Yes,Yes,No,No,8,No,Yes,Yes,No,2,55,Different,Same
UN-2361,25,NOTTINGHAM,19.85006518904824,Female,Malaysian,Chinese,Freshman/First Year,Psychology,"Yes, both parents",Right,No,Malay,Yes,Chinese,Chinese,80,Chinese,70,English,30,Cantonese,NA,NA,NA,NA,NA,NA,NA,NA,Vernacular,Yes,Yes,No,Yes,7,No,No,Yes,No,2,75,Different,Different
UN-2364,28,NOTTINGHAM,19.63102998696219,Female,Malaysian,Chinese,Freshman/First Year,Psychology,"Yes, mother only",Right,No,English,Yes,Chinese,Chinese,90,English,50,chinese,20,cantonese,NA,NA,NA,NA,NA,NA,NA,NA,Vernacular,No,Yes,No,Yes,8,No,Yes,Yes,No,2,70,Different,Different
UN-2363,27,NOTTINGHAM,18.491444216290212,Female,Malaysian,Chinese,Freshman/First Year,Psychology,"Yes, mother only",Right,No,Chinese,Yes,Chinese,Chinese,70,English,20,Malay,0,NA,0,NA,NA,NA,NA,NA,NA,NA,Vernacular,Yes,Yes,Yes,Yes,8,No,Yes,Yes,Yes,1,70,Same,Same
UN-2313,18,NOTTINGHAM,17.948551664504972,Female,Malaysian,Malay,Freshman/First Year,Psychology,"Yes, both parents",Right,No,Malay,Yes,English,English,60,Malay,90,English,10,Korean,NA,NA,0,NA,NA,NA,NA,NA,Overseas,Yes,Yes,No,Yes,7,No,Yes,Yes,No,2,75,Different,Different
UN-29004,45,NOTTINGHAM,21.047168637212195,Female,Malaysian,Chinese,Sophomore/Second Year,Education,"Yes, both parents",Right,No,Chinese,Yes,Chinese,Chinese,90,Chinese,80,English,70,Malay,80,Cantonese,50,Japanese,0,NA,NA,NA,Public,No,Yes,No,Yes,9,No,No,Yes,Yes,5,74,Same,Same
SW-0696,60,SUNWAY,22.40857142857143,Female,Malaysian,Chinese,Sophomore/Second Year,Computer Science/IT,"Yes, father only",Right,No,Chinese,Yes,Chinese,Chinese,100,Chinese,80,English,80,Malay,70,Cantonese,NA,NA,NA,NA,NA,NA,Vernacular,No,Yes,No,Yes,9,No,No,No,No,3,76.66666666666667,Same,Same
SW-0658,60,SUNWAY,21.1457373988799,Male,Malaysian,Chinese,Sophomore/Second Year,Computer Science/IT,"Yes, father only",Right,No,Chinese,Yes,Chinese,Chinese,100,Cantonese,80,English,60,Malay,10,Hokkien,50,Japanese,50,Korean,NA,Kadazan,Vernacular,No,Yes,Yes,Yes,9,Yes,No,No,No,4,60,Same,Same
SW-0656,60,SUNWAY,20.572881355932203,Male,Malaysian,Chinese,Sophomore/Second Year,Computer Science/IT,"Yes, both parents",Right,No,English,Yes,Chinese,Chinese,100,English,80,Malay,90,Mandarin,50,Cantonese,10,Tamil,10,Hokkien,10,Hindi,Public,Yes,Yes,No,No,10,No,Yes,Yes,No,3,73.33333333333333,Different,Different
SW-1130,60,SUNWAY,21.907500000000002,Male,Malaysian,Chinese,Sophomore/Second Year,Computer Science/IT,"Yes, both parents",Right,No,NA,Yes,Chinese,Chinese,100,English,70,Mandarin,80,Bm,0,NA,NA,NA,NA,NA,NA,NA,Vernacular,No,Yes,Yes,Yes,8,No,No,Yes,Yes,2,75,NA,NA
SW-1159,59,SUNWAY,21.641319228375853,Male,Malaysian,Chinese,Sophomore/Second Year,Computer Science/IT,NA,Right,No,Chinese,Yes,Chinese,Chinese,60,English,10,Malay,40,Cantonese,NA,Hokkien,0,NA,NA,NA,0,NA,Public,No,Yes,No,No,9,No,No,Yes,Yes,1,60,Same,Same
SW-0661,60,SUNWAY,21.64953329184816,Male,Malaysian,Indian,Sophomore/Second Year,Computer Science/IT,"Yes, both parents",Right,No,Msia Indian Languages,Yes,English,English,100,Tamil,100,English,100,Malay,NA,NA,NA,NA,NA,NA,NA,NA,Vernacular,No,Yes,No,No,10,No,No,Yes,Yes,NA,NA,Different,Different
SW-0628,58,SUNWAY,20.364797913950458,Female,Malaysian,Chinese,Sophomore/Second Year,Computer Science/IT,"Yes, both parents",Right,No,English,Yes,Chinese,Chinese,80,Mandarin,60,Cantonese,50,Malay,NA,NA,NA,NA,NA,NA,30,NA,Vernacular,Yes,Yes,No,Yes,4,No,Yes,Yes,No,3,63.333333333333336,Different,Different
SW-0625,60,SUNWAY,19.989700130378097,Male,Malaysian,Chinese,Sophomore/Second Year,Computer Science/IT,No,Left,No,Chinese,Yes,Chinese,English,70,Chinese,90,English,0,NA,NA,NA,0,NA,NA,NA,NA,NA,Vernacular,No,Yes,No,Yes,8,No,Yes,Yes,No,2,80,Same,Different
SW-0701,55,SUNWAY,20.98419415059116,Male,Malaysian,Chinese,Sophomore/Second Year,Computer Science/IT,"Yes, both parents",Right,No,English,Yes,Chinese,Chinese,40,mandarin,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Public,No,Yes,No,Yes,9,Yes,No,Yes,No,NA,NA,Different,Different
SW-0664,19,SUNWAY,21.561916614810205,Male,Malaysian,Chinese,Sophomore/Second Year,Computer Science/IT,"Yes, both parents",Right,No,English,No,English,English,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Private,Yes,Yes,Yes,Yes,6,No,Yes,Yes,Yes,NA,NA,Same,Same
SW-0691,57,SUNWAY,20.540026075619295,Female,Malaysian,Chinese,Sophomore/Second Year,Computer Science/IT,"Yes, both parents",Left,No,Chinese,Yes,Chinese,Chinese,80,Chinese,100,English,70,Malay,70,Cantonese,0,NA,NA,NA,NA,NA,Private,No,Yes,No,No,6,No,No,Yes,No,3,73.33333333333333,Same,Same
SW-0653,60,SUNWAY,20.789178617992178,Male,Malaysian,Chinese,Sophomore/Second Year,Computer Science/IT,"Yes, both parents",Right,No,English,No,Unspecified,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified,Undisclosed,Undisclosed,Undisclosed,Undisclosed,NA,Unspecified,Unspecified,Unspecified,Unspecified,NA,NA,Different,Different
SW-0634,58,SUNWAY,21.61667703795893,Male,Malaysian,Chinese,Sophomore/Second Year,Computer Science/IT,"Yes, father only",Right,No,English,Yes,Chinese,Chinese,80,English,70,Mandarin,NA,Malay,NA,NA,NA,NA,NA,NA,NA,NA,Vernacular,Yes,Yes,Yes,Yes,3,No,Yes,Yes,Yes,2,75,Different,Different
SW-0648,59,SUNWAY,20.40586701434159,Female,Malaysian,Chinese,Sophomore/Second Year,Computer Science/IT,"Yes, father only",Left,No,Chinese,Yes,Chinese,Chinese,80,English,60,Malay,30,Cantonese,NA,NA,NA,NA,NA,NA,NA,NA,Vernacular,Yes,Undisclosed,Undisclosed,Undisclosed,NA,Unspecified,Unspecified,Unspecified,Unspecified,2,70,Same,Same
SW-1701,25,SUNWAY,21.416801493466085,Female,Malaysian,Indian,Junior/Third Year,Biomedical Sciences,No,Right,No,Msia Indian Languages,Yes,English,English,80,English,80,Malay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vernacular,No,Yes,No,Yes,8,No,No,Yes,Yes,2,80,Different,Different
SW-1709,36,SUNWAY,22.657738095238095,Female,Malaysian,Malay,Junior/Third Year,Biomedical Sciences,"Yes, both parents",Right,No,English,Yes,Malay,English,90,Malay,60,Mandarin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Public,No,Yes,No,Yes,3,No,No,Yes,Yes,2,75,Different,Same
SW-1706,58,SUNWAY,22.973305954825463,Male,Malaysian,Chinese,Junior/Third Year,Biomedical Sciences,No,Right,No,Chinese,Yes,English,English,90,English,60,Mandarin,40,Malay,20,Hokkien,NA,NA,NA,NA,NA,NA,Public,No,Yes,No,No,9,No,No,No,No,2,75,Different,Different
SW-1714,42,SUNWAY,25.22240943555181,Female,Malaysian,Chinese,Junior/Third Year,Biomedical Sciences,No,Right,No,Chinese,Yes,English,Chinese,80,English,60,Bahasa Malaysia,70,Japanese,20,Spanish,70,Cantonese,70,Hokkien,NA,NA,Vernacular,No,Yes,No,Yes,8,No,No,No,No,5,70,Different,Same
SW-1712,27,SUNWAY,21.819880952380952,Female,Malaysian,Malay,Junior/Third Year,Biomedical Sciences,No,Right,No,Malay,Yes,English,English,90,english,10,chinese,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Public,Yes,Yes,Yes,Yes,8,No,Yes,Yes,No,1,90,Different,Different
SW-1710,53,SUNWAY,20.728943937418514,Male,Malaysian,Chinese,Senior/Fourth Year,Biomedical Sciences,"Yes, both parents",Right,No,English,Yes,English,English,40,Malay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Private,Yes,Yes,Yes,Yes,10,No,No,Yes,Yes,NA,NA,Same,Same
SW-1705,27,SUNWAY,20.86919726197884,Female,Malaysian,Chinese,Junior/Third Year,NA,"Yes, both parents",Right,No,English,Yes,Malay,Malay,70,malay,50,cantonese,50,chinese,100,english,NA,NA,NA,NA,NA,NA,Public,No,Yes,No,Yes,6,No,Yes,Yes,Yes,3,56.666666666666664,Different,Different
SW-1704,48,SUNWAY,22.638571428571428,Female,Malaysian,Chinese,Junior/Third Year,Biomedical Sciences,"Yes, both parents",Right,No,English,Yes,Chinese,Chinese,90,English,70,Chinese,50,Malay,60,Cantonese,NA,NA,0,NA,NA,NA,Public,No,Yes,No,No,8,No,No,Yes,No,4,67.5,Different,Different
SW-1721,56,SUNWAY,21.35656502800249,Female,Malaysian,Chinese,Junior/Third Year,Biomedical Sciences,"Yes, both parents",Right,No,NA,Yes,Chinese,Chinese,70,English,90,Chinese,50,Malay,NA,NA,NA,NA,NA,NA,NA,NA,Vernacular,Yes,Yes,No,Yes,8,No,No,Yes,No,3,70,NA,NA
SW-1720,38,SUNWAY,20.803484754200372,Female,Malaysian,Chinese,Junior/Third Year,Biomedical Sciences,No,Right,No,English,Yes,Chinese,English,100,English,70,Chinese,40,Malay,50,Cantonese,0,NA,NA,NA,NA,NA,Vernacular,Yes,Yes,No,No,7,No,No,Yes,No,2,60,Different,Same
SW-1724,42,SUNWAY,20.252542372881354,Female,Malaysian,Chinese,Junior/Third Year,Biomedical Sciences,NA,Right,No,Chinese,Yes,Chinese,Chinese,80,Malay,90,English,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vernacular,No,Yes,No,No,8,No,No,Yes,No,2,85,Same,Same
SW-1719,40,SUNWAY,23.326488706365502,Female,Malaysian,Chinese,Junior/Third Year,Biomedical Sciences,"Yes, mother only",Right,No,Chinese,Yes,Chinese,Chinese,90,Chinese,80,Mandarin,70,English,50,Bahasa Melayu,NA,NA,NA,NA,NA,NA,Public,No,Yes,No,No,10,No,No,Yes,No,3,72.5,Same,Same
SW-1713,34,SUNWAY,23.15126625598905,Female,Malaysian,Chinese,Junior/Third Year,Biomedical Sciences,No,Right,No,Chinese,Yes,Chinese,Chinese,80,english,50,malay,60,hokkien,NA,NA,NA,NA,NA,NA,NA,NA,Vernacular,Yes,Yes,No,Yes,8,No,Yes,Yes,No,3,63.333333333333336,Same,Same
SW-1716,46,SUNWAY,21.770006222775358,Female,Malaysian,Chinese,Junior/Third Year,Biomedical Sciences,"Yes, mother only",Right,No,Chinese,Yes,Chinese,Chinese,70,English,60,Malay,50,Hakka,70,Cantonese,NA,NA,NA,NA,NA,NA,Public,No,Yes,No,Yes,8,No,No,Yes,Yes,4,62.5,Same,Same
SW-1707,20,SUNWAY,21.655009334163037,Female,Malaysian,Malay,Junior/Third Year,Biomedical Sciences,"Yes, both parents",Right,Yes,Malay,Yes,English,English,70,Malay,80,French,90,English,20,Russian,NA,NA,NA,NA,NA,NA,Private,Yes,Yes,Yes,Yes,4,No,Yes,Yes,Yes,3,80,Different,Different
SW-1723,46,SUNWAY,21.167641568139388,Female,Malaysian,Chinese,Junior/Third Year,Biomedical Sciences,"Yes, mother only",Right,No,Chinese,Yes,Chinese,Chinese,80,Chinese,60,English,70,Malay,80,Cantonese,20,Hokkien,NA,NA,NA,NA,Vernacular,Yes,Yes,Yes,Yes,9,No,Yes,Yes,No,4,72.5,Same,Same
