participant,fluency_score,Age,Sex,Nationality,Ethnicity,StudyLevel,Major,ParentalEdu,Handedness,PastMedDiagnosis,NativeLang,SecondLang,MathLang_Primary,MultLang,Primary_schoolType,SchoolType_Primary,MathDiff,MultLearning_normal,MultLearning_time,MultLearning_peers,MultLearning_score,ReadingProblem,MathAnxiety,ExamAnxiety,MemoryAnxiety
UN-2353,49,20.2914747977598,Female,Malaysian,Chinese,Freshman/First Year,Psychology,No,Right,No,English,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,No,8,No,No,Yes,Yes
UN-2349,38,19.526988265971315,Female,Malaysian,Indian,Freshman/First Year,Psychology,"Yes, both parents",Right,No,Hindi/Bengali/Tamil/Gujarati/Urdu,Yes,English,English,Public school (SK),Public school (SK),No,Yes,No,No,10,No,No,Yes,No
UN-2350,36,19.379139504563234,Female,Malaysian,Chinese,Freshman/First Year,Psychology,No,Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,English,Public school (SK),Public school (SK),Yes,Yes,No,Yes,9,No,No,Yes,No
UN-2352,30,19.636505867014343,Female,Malaysian,Chinese,Freshman/First Year,Psychology,No,Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Public school (SK),Public school (SK),Yes,Yes,No,Yes,6,No,Yes,Yes,Yes
UN-2357,23,19.784354628422424,Female,Malaysian,Malay,Freshman/First Year,Psychology,"Yes, both parents",Right,No,Malay,Yes,Malay & English,Malay & English,Public school (SK),Public school (SK),Yes,Yes,No,No,7,No,Yes,Yes,Yes
UN-2358,20,19.4393741851369,Female,Indonesian,NA,Freshman/First Year,Psychology,No,Left,No,Hindi/Bengali/Tamil/Gujarati/Urdu,Yes,English,English,Public school (SK),Public school (SK),No,No,No,Yes,7,No,No,Yes,Yes
UN-2325,18,19.110198494182068,Female,Indian,Indian,Freshman/First Year,Psychology,"Yes, both parents",Right,No,Hindi/Bengali/Tamil/Gujarati/Urdu,Yes,English,English,Private school (international),Private (International) School,No,Yes,No,No,6,No,Yes,Yes,No
UN-2322,21,17.932122784262862,Female,Indian,Indian,Freshman/First Year,Psychology,"Yes, both parents",Right,No,Hindi/Bengali/Tamil/Gujarati/Urdu,Yes,English,English,Private school (international),Private school,Yes,Yes,No,Yes,6,No,Yes,Yes,Yes
UN-2328,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UN-2329,53,18.209445585215605,Female,Indonesian,NA,Freshman/First Year,Psychology,"Yes, both parents",Right,No,English,No,English,English,Private school (international),Private school,No,Yes,No,No,9,No,Yes,Yes,No
UN-2340,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UN-2339,24,19.392829204693612,NA,BLANK,NA,NA,Not specified,NA,Undisclosed,Undisclosed,NA,Unspecified,Unspecified,NA,Unspecified,Unspecified,Undisclosed,Undisclosed,Undisclosed,Undisclosed,NA,Unspecified,Unspecified,Unspecified,Unspecified
UN-2324,24,19.480443285528033,Female,Malaysian,Chinese,Freshman/First Year,Psychology,"Yes, mother only",Right,Yes,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,Yes,8,No,No,Yes,No
UN-2375,45,17.80616803574002,Male,Malaysian,Chinese,Freshman/First Year,Psychology,"Yes, father only",Right,No,English,Yes,English,English,Private school (international),Private (International) School,Yes,Yes,Yes,Yes,8,No,No,Yes,Yes
UN-2374,28,19.825423728813558,Male,Indonesian,NA,Freshman/First Year,Psychology,"Yes, both parents",Right,Yes,English,Yes,Indonesian,Indonesian,Private school (international),Private (Local) School,Yes,Yes,Yes,No,10,No,Yes,Yes,No
UN-2373,43,20.548848786558803,Female,China Chinese,Chinese,Freshman/First Year,Psychology,"Yes, mother only",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Public school (SK),Public school (SK),Yes,Yes,No,No,9,No,Yes,No,Yes
UN-2370,48,20.762414436838828,Female,Malaysian,Chinese,Freshman/First Year,Psychology,"Yes, father only",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,No,No,10,No,Yes,No,No
UN-2369,36,20.244928438083384,Male,Malaysian,Mixed-Filipino,Freshman/First Year,Psychology,"Yes, both parents",Right,No,English,Yes,English,English,Public school (SK),Public school (SK),Yes,Yes,No,Yes,7,No,No,Yes,Yes
UN-2368,36,18.962354551676935,Male,Malaysian,Chinese,Freshman/First Year,Psychology,"Yes, both parents",Right,No,English,Yes,English,English,Private school (international),Private school,Yes,Yes,No,Yes,7,No,Yes,Yes,No
UN-2371,52,19.852803129074314,Female,Malaysian,Chinese,Freshman/First Year,Psychology,"Yes, both parents",Right,No,Mandarin/Cantonese/chinese dialects,Yes,English & Chinese,Chinese,Public school (SK),Public school (SK),No,Yes,No,No,8,No,No,Yes,No
UN-2372,40,19.535202086049544,Female,Malaysian,Chinese,Freshman/First Year,Psychology,"Yes, both parents",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,No,10,No,No,Yes,Yes
UN-2366,27,19.959582790091265,Female,Malaysian,Chinese,Freshman/First Year,Psychology,"Yes, father only",Right,No,Mandarin/Cantonese/chinese dialects,Yes,English & Chinese,Chinese,Public school (SK),Public school (SK),Yes,Yes,Yes,Yes,7,No,Yes,Yes,Yes
UN-2365,49,19.5625814863103,Female,Malaysian,Chinese,Freshman/First Year,Psychology,"Yes, father only",Right,No,Mandarin/Cantonese/chinese dialects,Yes,English,Chinese,Public school (SK),Public school (SK),Yes,Yes,Yes,Yes,6,No,Yes,Yes,Yes
UN-2367,39,19.61186440677966,Female,Malaysian,Chinese,Freshman/First Year,Psychology,"Yes, mother only",Right,No,Mandarin/Cantonese/chinese dialects,Yes,English,Chinese,Public school (SK),Public school (SK),Yes,Yes,No,No,8,No,Yes,Yes,No
UN-2361,25,19.85006518904824,Female,Malaysian,Chinese,Freshman/First Year,Psychology,"Yes, both parents",Right,No,Malay,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,No,Yes,7,No,No,Yes,No
UN-2364,28,19.63102998696219,Female,Malaysian,Chinese,Freshman/First Year,Psychology,"Yes, mother only",Right,No,English,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,Yes,8,No,Yes,Yes,No
UN-2363,27,18.491444216290212,Female,Malaysian,Chinese,Freshman/First Year,Psychology,"Yes, mother only",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,Yes,Yes,8,No,Yes,Yes,Yes
UN-2313,18,17.948551664504972,Female,Malaysian,Malay,Freshman/First Year,Psychology,"Yes, both parents",Right,No,Malay,Yes,English,English,Oversea education,Oversea (Qatar Private school),Yes,Yes,No,Yes,7,No,Yes,Yes,No
0340,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UN-29004,45,21.047168637212195,Female,Malaysian,Chinese,Sophomore/Second Year,TESL/TESOL,"Yes, both parents",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Public school (SK),Public school (SK),No,Yes,No,Yes,9,No,No,Yes,Yes
UN-29003,60,20.67479775980087,Female,China Chinese,Chinese,Sophomore/Second Year,TESL/TESOL,"Yes, father only",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Oversea education,Oversea (China public school),Yes,Yes,No,No,10,No,Yes,Yes,No
UN-29007,58,22.14297619047619,Male,China Chinese,Chinese,Sophomore/Second Year,TESL/TESOL,"Yes, father only",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Oversea education,Oversea (China public school),Yes,Yes,No,No,9,No,Yes,Yes,Yes
SW-0696,60,22.40857142857143,Female,Malaysian,Chinese,Sophomore/Second Year,IT/Network Security/Data,"Yes, father only",Right,No,Mandarin/Cantonese/chinese dialects,Yes,English & Chinese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,Yes,9,No,No,No,No
SW-0658,60,21.1457373988799,Male,Malaysian,Chinese,Sophomore/Second Year,IT/Network Security/Data,"Yes, father only",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,Yes,Yes,9,Yes,No,No,No
SW-0656,60,20.572881355932203,Male,Malaysian,Chinese,Sophomore/Second Year,IT/Network Security/Data,"Yes, both parents",Right,No,English,Yes,Mandarin Chinese/ Cantonese,Chinese,Public school (SK),Public school (SK),Yes,Yes,No,No,10,No,Yes,Yes,No
SW-1130,60,21.907500000000002,Male,Malaysian,Chinese,Sophomore/Second Year,IT/Network Security/Data,"Yes, both parents",Right,No,NA,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,Yes,Yes,8,No,No,Yes,Yes
SW-1159,59,21.641319228375853,Male,Malaysian,Chinese,Sophomore/Second Year,IT/Network Security/Data,NA,Right,No,Mandarin/Cantonese/chinese dialects,Yes,English & Chinese,English & Chinese,Public school (SK),Public school (SK),No,Yes,No,No,9,No,No,Yes,Yes
SW-0661,60,21.64953329184816,Male,Malaysian,Indian,Sophomore/Second Year,IT/Network Security/Data,"Yes, both parents",Right,No,Hindi/Bengali/Tamil/Gujarati/Urdu,Yes,English,English,Chinese vernacular school,Chinese vernacular school,No,Yes,No,No,10,No,No,Yes,Yes
SW-0628,58,20.364797913950458,Female,Malaysian,Chinese,Sophomore/Second Year,IT/Network Security/Data,"Yes, both parents",Right,No,English,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,No,Yes,4,No,Yes,Yes,No
SW-0625,60,19.989700130378097,Male,Malaysian,Chinese,Sophomore/Second Year,IT/Network Security/Data,No,Left,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,English,Chinese vernacular school,Chinese vernacular school,No,Yes,No,Yes,8,No,Yes,Yes,No
SW-0701,55,20.98419415059116,Male,Malaysian,Chinese,Sophomore/Second Year,IT/Network Security/Data,"Yes, both parents",Right,No,English,Yes,English & Chinese,English & Chinese,Public school (SK),Public school (SK),No,Yes,No,Yes,9,Yes,No,Yes,No
SW-0685,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW-0664,19,21.561916614810205,Male,Malaysian,Chinese,Sophomore/Second Year,Computer Science,"Yes, both parents",Right,No,English,No,English,English,Private school (international),Private school,Yes,Yes,Yes,Yes,6,No,Yes,Yes,Yes
SW-0691,57,20.540026075619295,Female,Malaysian,Chinese,Sophomore/Second Year,IT/Network Security/Data,"Yes, both parents",Left,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Private school (international),Private school,No,Yes,No,No,6,No,No,Yes,No
SW-0657,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW-0653,60,20.789178617992178,Male,Malaysian,Chinese,Sophomore/Second Year,IT/Network Security/Data,"Yes, both parents",Right,No,English,No,Unspecified,Unspecified,Unspecified,Unspecified,Undisclosed,Undisclosed,Undisclosed,Undisclosed,NA,Unspecified,Unspecified,Unspecified,Unspecified
SW-0634,58,21.61667703795893,Male,Malaysian,Chinese,Sophomore/Second Year,IT/Network Security/Data,"Yes, father only",Right,No,English,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,Yes,Yes,3,No,Yes,Yes,Yes
SW-0648,59,20.40586701434159,Female,Malaysian,Chinese,Sophomore/Second Year,IT/Network Security/Data,"Yes, father only",Left,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Undisclosed,Undisclosed,Undisclosed,NA,Unspecified,Unspecified,Unspecified,Unspecified
SW-1701,25,21.416801493466085,Female,Malaysian,Indian,Junior/Third Year,Biomedical Science,No,Right,No,Hindi/Bengali/Tamil/Gujarati/Urdu,Yes,English,English,Chinese vernacular school,Chinese vernacular school,No,Yes,No,Yes,8,No,No,Yes,Yes
SW-1709,36,22.657738095238095,Female,Malaysian,Malay,Junior/Third Year,Biomedical Science,"Yes, both parents",Right,No,English,Yes,Malay & English,English,Public school (SK),Public school (SK),No,Yes,No,Yes,3,No,No,Yes,Yes
SW-1706,58,22.973305954825463,Male,Malaysian,Chinese,Junior/Third Year,Biomedical Science,No,Right,No,Mandarin/Cantonese/chinese dialects,Yes,English,English,Public school (SK),Public school (SK),No,Yes,No,No,9,No,No,No,No
SW-1714,42,25.22240943555181,Female,Malaysian,Chinese,Junior/Third Year,Biomedical Science,No,Right,No,Mandarin/Cantonese/chinese dialects,Yes,English,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,Yes,8,No,No,No,No
SW-1712,27,21.819880952380952,Female,Malaysian,Malay,Junior/Third Year,Biomedical Science,No,Right,No,Malay,Yes,English,English,Public school (SK),Public school (SK),Yes,Yes,Yes,Yes,8,No,Yes,Yes,No
SW-1710,53,20.728943937418514,Male,Malaysian,Chinese,Senior/Fourth Year,Biomedical Science,"Yes, both parents",Right,No,English,Yes,English,English,Private school (international),Private school,Yes,Yes,Yes,Yes,10,No,No,Yes,Yes
SW-1703,24,21.033478531425015,Male,Bruneian,Malay,Junior/Third Year,Biomedical Science,No,Right,No,Malay & English,Yes,English,English,Private school (international),private school,Yes,Yes,No,No,8,No,Yes,Yes,Yes
SW-1705,27,20.86919726197884,Female,Malaysian,Chinese,Junior/Third Year,Not specified,"Yes, both parents",Right,No,English,Yes,Malay & English,Malay & English,Public school (SK),Public school (SK),No,Yes,No,Yes,6,No,Yes,Yes,Yes
SW-1704,48,22.638571428571428,Female,Malaysian,Chinese,Junior/Third Year,Biomedical Science,"Yes, both parents",Right,No,English,Yes,Mandarin Chinese/ Cantonese,Chinese,Public school (SK),Public school (SK),No,Yes,No,No,8,No,No,Yes,No
SW-1721,56,21.35656502800249,Female,Malaysian,Chinese,Junior/Third Year,Biomedical Science,"Yes, both parents",Right,No,NA,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,No,Yes,8,No,No,Yes,No
SW-1720,38,20.803484754200372,Female,Malaysian,Chinese,Junior/Third Year,Biomedical Science,No,Right,No,English,Yes,Mandarin Chinese/ Cantonese,English,Chinese vernacular school,Chinese vernacular school,Yes,Yes,No,No,7,No,No,Yes,No
SW-1724,42,20.252542372881354,Female,Malaysian,Chinese,Junior/Third Year,Biomedical Science,NA,Right,No,Mandarin/Cantonese/chinese dialects,Yes,English & Chinese,English & Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,No,8,No,No,Yes,No
SW-1719,40,23.326488706365502,Female,Malaysian,Chinese,Junior/Third Year,Biomedical Science,"Yes, mother only",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Public school (SK),Public school (SK),No,Yes,No,No,10,No,No,Yes,No
SW-1718,15,20.750847457627117,Female,Sri Lankan,Other,Junior/Third Year,Biomedical Science,No,Right,No,Hindi/Bengali/Tamil/Gujarati/Urdu,Yes,English,English,Private school (international),Private (International) School,Yes,Yes,No,Yes,7,No,No,Yes,No
SW-1713,34,23.15126625598905,Female,Malaysian,Chinese,Junior/Third Year,Biomedical Science,No,Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,No,Yes,8,No,Yes,Yes,No
SW-1708,28,21.164903546981954,Male,Indonesian,Other,Junior/Third Year,Biomedical Science,"Yes, mother only",Right,No,Bahasa Indonesia,Yes,English,English,Private school (international),Private school,Yes,No,No,Yes,5,No,Yes,Yes,Yes
SW-1716,46,21.770006222775358,Female,Malaysian,Chinese,Junior/Third Year,Biomedical Science,"Yes, mother only",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Public school (SK),Public school (SK),No,Yes,No,Yes,8,No,No,Yes,Yes
SW-1702,19,18.279867416054188,Female,Indonesian,Chinese,Junior/Third Year,Biomedical Science,NA,Right,No,Bahasa Indonesia,Yes,Indonesian/English,Indonesian/English,Private school (international),Private school,No,Yes,No,Yes,6,No,No,Yes,No
SW-1707,20,21.655009334163037,Female,Malaysian,Malay,Junior/Third Year,Biomedical Science,"Yes, both parents",Right,Yes,Malay & French,Yes,English,English,Private school (international),Private (International) School,Yes,Yes,Yes,Yes,4,No,Yes,Yes,Yes
SW-1723,46,21.167641568139388,Female,Malaysian,Chinese,Junior/Third Year,Biomedical Science,"Yes, mother only",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,Yes,Yes,9,No,Yes,Yes,No
SW-1717,58,21.02252644679527,Female,Malaysian,Chinese,Junior/Third Year,Biomedical Science,NA,Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,Yes,8,No,No,Yes,No
SW-1725,25,24.39765633556018,Female,Non-Malaysian,Other,Junior/Third Year,Biomedical Science,No,Right,No,NA,Yes,English,English,Private school (international),Private (International) School,Yes,Yes,Yes,Yes,5,No,Yes,Yes,Yes
SW-1722,48,21.67417548226509,Female,Malaysian,Chinese,Junior/Third Year,Biomedical Science,No,Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,No,10,No,No,Yes,Yes
SW-1733,31,21.329184816428125,Female,Malaysian,Chinese,Junior/Third Year,Not specified,"Yes, both parents",Right,No,English,Yes,Mandarin Chinese/ Cantonese,Chinese,Public school (SK),Public school (SK),No,Yes,Yes,No,9,No,No,No,No
SW-1732,18,21.307280647168636,Female,Malaysian,Chinese,Junior/Third Year,Biomedical Science,"Yes, both parents",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,No,Yes,6,No,No,No,Yes
SW-1728,56,23.50444900752909,Female,Malaysian,Chinese,Junior/Third Year,Biomedical Science,No,Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,No,Yes,9,No,No,Yes,Yes
SW-1727,60,22.197738095238098,Male,Malaysian,Chinese,Junior/Third Year,Biomedical Science,"Yes, both parents",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,No,8,No,No,No,No
SW-1715,29,22.8145106091718,Female,American,Other,Junior/Third Year,Biomedical Science,"Yes, father only",Right,No,Arabic,Yes,English,English,Private school (international),Private (International) School,Yes,Yes,No,Yes,7,No,Yes,Yes,Yes
SW-1726,20,22.06904761904762,Female,Yemeni,Other,Junior/Third Year,Biomedical Science,"Yes, father only",Right,No,Arabic,Yes,English,English,Private school (international),Private school,Yes,Yes,No,Yes,5,No,No,Yes,No
SW-1730,40,20.87741132545115,Female,Malaysian,Chinese,Junior/Third Year,Biomedical Science,"Yes, both parents",Right,No,English,Yes,English,English,Private school (international),Private school,Yes,No,Yes,Yes,4,No,Yes,Yes,Yes
SW-1729,60,21.118357187305538,Female,Malaysian,Chinese,Junior/Third Year,Biomedical Science,"Yes, both parents",Left,No,English,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,Yes,8,No,No,No,No
SW-1131,59,22.40857142857143,Female,Malaysian,Chinese,Sophomore/Second Year,IT/Network Security/Data,"Yes, father only",Right,No,NA,Yes,English & Chinese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,Yes,9,No,No,No,No
SW-1749,30,22.463333333333335,Male,Malaysian,Malay,Senior/Fourth Year,IT/Network Security/Data,NA,Right,No,English,No,English,English,Public school (SK),Public school (SK),No,Yes,No,Yes,5,No,No,Yes,No
SW-1736,25,21.285376477909146,Male,Malaysian,Chinese,Graduate Student,IT/Network Security/Data,"Yes, both parents",Right,No,English,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,No,9,No,No,Yes,No
SW-1143,37,21.504418170504042,Male,Malaysian,Chinese,Junior/Third Year,IT/Network Security/Data,No,Right,No,English,No,English,English,Private school (international),Private school,Yes,Yes,Yes,Yes,5,No,Yes,Yes,Yes
SW-1102,52,21.482514001244553,Male,Malaysian,Chinese,Junior/Third Year,IT/Network Security/Data,"Yes, father only",Right,No,English,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,No,9,No,Yes,Yes,Yes
SW-1149,59,21.660485376477908,Male,Malaysian,Chinese,Junior/Third Year,IT/Network Security/Data,"Yes, mother only",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Public school (SK),Public school (SK),No,Yes,Yes,Yes,9,No,Yes,Yes,Yes
SW-1743,44,21.288114499066584,Male,Malaysian,Chinese,Junior/Third Year,IT/Network Security/Data,NA,Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,No,No,No,5,No,No,No,No
SW-1132,39,25.18955349620893,Male,Korean,Other,Senior/Fourth Year,IT/Network Security/Data,"Yes, father only",Right,No,Korean,Yes,English,Korean,Private school (international),Private (International) School,No,Yes,Yes,No,8,No,No,No,No
UN-0422,32,22.257976190476192,Male,Malaysian,Chinese,Junior/Third Year,IT/Network Security/Data,NA,Left,No,English,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,No,10,No,No,Yes,No
SW-1111,60,21.786434349719976,Male,Malaysian,Chinese,Junior/Third Year,IT/Network Security/Data,"Yes, both parents",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,No,10,Yes,No,No,Yes
SW-1109,51,20.997884256378345,Male,Malaysian,Chinese,Junior/Third Year,IT/Network Security/Data,"Yes, both parents",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,English,Public school (SK),Public school (SK),No,Yes,No,No,10,No,No,Yes,No
UN-0420,28,20.836341008089608,Male,Malaysian,Chinese,Junior/Third Year,IT/Network Security/Data,"Yes, both parents",Right,No,English,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,Yes,Yes,7,No,No,Yes,No
SW-1145,40,21.049906658369633,Male,Malaysian,Chinese,Junior/Third Year,IT/Network Security/Data,"Yes, father only",Right,No,English,Yes,Mandarin Chinese/ Cantonese,English & Chinese,Public school (SK),Public school (SK),Yes,Yes,No,No,8,No,Yes,Yes,Yes
SW-1116,33,20.485267275097783,Female,Indonesian,Chinese,Junior/Third Year,IT/Network Security/Data,No,Right,No,Bahasa Indonesia,Yes,Indonesian/English,Indonesian/English,Private school (international),Private school,No,Yes,No,Yes,8,No,No,Yes,No
SW-1101,28,21.750840074673302,Male,Malaysian,Chinese,Junior/Third Year,IT/Network Security/Data,NA,Right,No,English,Yes,English,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,Yes,Yes,8,No,Yes,Yes,Yes
SW-1744,23,21.99238095238095,Male,Malaysian,Chinese,Junior/Third Year,IT/Network Security/Data,No,Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,Yes,Yes,5,No,Yes,Yes,Yes
SW-1124,18,20.71251629726206,Male,Malaysian,Chinese,Junior/Third Year,IT/Network Security/Data,"Yes, both parents",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Public school (SK),Public school (SK),Yes,Yes,Yes,Yes,4,No,Yes,No,No
SW-1125,59,23.353867214236825,Male,Bruneian,Chinese,Senior/Fourth Year,IT/Network Security/Data,No,Right,No,English,Yes,English,Chinese,Private school (international),Private school,No,Yes,Yes,Yes,3,No,Yes,Yes,Yes
SW-1735,27,21.47703795892968,Male,Malaysian,Chinese,Junior/Third Year,IT/Network Security/Data,"Yes, father only",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Public school (SK),Public school (SK),No,Yes,No,Yes,6,Yes,No,Yes,Yes
SW-1112,23,21.58655880522713,Female,Malaysian,Chinese,Junior/Third Year,IT/Network Security/Data,No,Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,Yes,5,No,No,Yes,Yes
UN-0421,27,21.011574362165526,Male,Malaysian,Chinese,Junior/Third Year,IT/Network Security/Data,"Yes, both parents",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Public school (SK),Public school (SK),No,Yes,No,No,9,No,No,No,No
UN-0434,23,21.76726820161792,Female,Malaysian,Chinese,Junior/Third Year,IT/Network Security/Data,"Yes, mother only",Right,No,Mandarin/Cantonese/chinese dialects,Yes,English,Chinese,Private school (international),Private school,Yes,Yes,No,Yes,5,No,No,Yes,Yes
SW-1140,46,21.052644679527067,Male,Malaysian,Chinese,Senior/Fourth Year,IT/Network Security/Data,No,Right,No,English,Yes,English,English,Public school (SK),Public school (SK),No,Yes,Yes,No,9,No,No,Yes,No
SW-1150,60,21.707031736154324,Female,Malaysian,Chinese,Junior/Third Year,IT/Network Security/Data,No,Right,No,Mandarin/Cantonese/chinese dialects,Yes,English & Chinese,Chinese,Public school (SK),Public school (SK),No,Yes,No,Yes,10,No,No,Yes,No
SW-1127,56,20.902053515868076,Male,Malaysian,Chinese,Junior/Third Year,IT/Network Security/Data,No,Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Public school (SK),Public school (SK),No,Yes,No,No,10,No,No,Yes,No
SW-1747,20,21.605724953329183,Male,Malaysian,Malay-Chinese,Junior/Third Year,IT/Network Security/Data,"Yes, both parents",Right,No,English,Yes,Mandarin Chinese/ Cantonese,Chinese,Public school (SK),Public school (SK),No,Yes,No,Yes,7,No,No,No,No
SW-1156,59,21.791910392034847,Male,Malaysian,Chinese,Senior/Fourth Year,IT/Network Security/Data,"Yes, mother only",Left,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Public school (SK),Public school (SK),No,Yes,Yes,Yes,9,No,Yes,Yes,Yes
