participant,fluency_score,Age,Sex,Nationality,Ethnicity,StudyLevel,Major,ParentalEdu,Handedness,PastMedDiagnosis,NativeLang,SecondLang,MathLang_Primary,MultLang,Primary_schoolType,SchoolType_Primary,MathDiff,MultLearning_normal,MultLearning_time,MultLearning_peers,MultLearning_score,ReadingProblem,MathAnxiety,ExamAnxiety,MemoryAnxiety
SW-2712,30,20.343497199751088,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, mother only",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,No,No,Yes,7,No,No,No,No
SW-2714,30,18.902121834360027,Female,Malaysian,Chinese,Freshman/First Year,Psychology,No,Left,No,Mandarin/Cantonese/chinese dialects,Yes,Malay & English,English & Chinese,Public school (SK),Public school (SK),Yes,Yes,Yes,Yes,8,No,Yes,Yes,No
SW-2715,27,18.99794661190965,Female,Malaysian,Chinese,Freshman/First Year,Psychology,No,Right,Yes,English,Yes,English,English,Private school (international),Private school,Yes,Yes,Yes,Yes,9,No,Yes,Yes,No
SW-2716,44,20.203259452411995,Male,Malaysian,Chinese,Freshman/First Year,Psychology,No,Left,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Public school (SK),Public school (SK),No,No,No,Yes,6,No,No,No,No
SW-2717,57,22.665952380952383,Female,Non-Malaysian,Other,Freshman/First Year,Management,"Yes, both parents",Right,No,NA,Yes,English,English,Private school (international),Private school,Yes,Yes,No,Yes,6,No,Yes,Yes,Yes
SW-2719,51,19.345653661875428,Female,Malawian,Indian,Freshman/First Year,Psychology,"Yes, father only",Right,No,English,Yes,English,English,Private school (international),Private school,Yes,Yes,No,No,6,No,Yes,Yes,No
SW-2720,45,19.482546201232033,Female,Malaysian,Chinese,Freshman/First Year,Psychology,No,Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,No,No,9,No,Yes,Yes,No
SW-2721,50,18.847364818617386,Female,Malaysian,Chinese,Freshman/First Year,Psychology,NA,Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,Yes,7,No,No,Yes,Yes
SW-2722,26,19.21697467488022,Female,Malaysian,Chinese,Freshman/First Year,Psychology,No,Right,No,English & Chinese,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,No,Yes,7,No,Yes,Yes,No
SW-2723,43,18.915811088295687,Female,Malaysian,Indian,Freshman/First Year,Psychology,"Yes, both parents",Right,No,Hindi/Bengali/Tamil/Gujarati/Urdu,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,No,Yes,7,No,Yes,Yes,Yes
SW-2725,28,18.740588637919235,Male,Malaysian,Chinese,Freshman/First Year,Psychology,"Yes, mother only",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,Yes,Yes,7,No,No,Yes,Yes
SW-2726,20,18.066291972906757,Male,Indonesian,Other,Freshman/First Year,Psychology,"Yes, both parents",Right,No,Bahasa Indonesia,Yes,English,English,Public school (SK),Public school (SK),No,Yes,Yes,Yes,7,No,No,Yes,Yes
SW-2727,44,19.227926078028748,Female,Malaysian,Chinese,Freshman/First Year,Not specified,No,Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,No,Yes,7,No,Yes,Yes,Yes
SW-2728,53,18.98425735797399,Female,Malaysian,Chinese,Freshman/First Year,Psychology,"Yes, both parents",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Undisclosed,Undisclosed,Undisclosed,NA,Unspecified,Unspecified,Unspecified,Unspecified
SW-2729,45,19.515400410677618,Female,Malaysian,Chinese,Freshman/First Year,Psychology,No,Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Public school (SK),Public school (SK),Yes,Yes,No,Yes,9,No,No,Yes,No
SW-2730,46,18.94866529774127,Female,Malaysian,Chinese,Freshman/First Year,Psychology,"Yes, both parents",Right,No,English & Chinese,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,No,No,7,No,No,No,No
SW-2731,38,19.93767926988266,Female,Malaysian,Chinese,Freshman/First Year,Not specified,"Yes, father only",Right,No,NA,Yes,Mandarin Chinese/ Cantonese,English,Public school (SK),Public school (SK),Yes,Yes,No,Yes,5,No,Yes,Yes,No
SW-2732,24,19.68788501026694,Female,Indian,Indian,Freshman/First Year,Not specified,"Yes, father only",Right,No,Hindi/Bengali/Tamil/Gujarati/Urdu,Yes,English,English,Unspecified,Unspecified,Yes,Yes,No,Yes,6,No,Yes,Yes,No
SW-2734,19,19.32101300479124,Female,Indian,Indian,Freshman/First Year,Psychology,No,Right,Yes,Hindi/Bengali/Tamil/Gujarati/Urdu,Yes,English,English,Private school (international),Private (International) School,Yes,Yes,Yes,Yes,7,No,Yes,Yes,No
SW-2737,29,18.48522841908056,Female,Malaysian,Chinese,Graduate Student,Psychology,"Yes, both parents",Right,No,English,Yes,English & Chinese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,No,Yes,8,No,Yes,Yes,Yes
SW-2738,31,22.085476190476193,Female,Malaysian,Chinese,Freshman/First Year,Not specified,No,Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,No,8,No,No,Yes,Yes
SW-2739,45,20.67966101694915,Male,Malaysian,Chinese,Freshman/First Year,Psychology,"Yes, both parents",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,No,8,Yes,Yes,Yes,No
SW-2759,23,25.392165122156698,Male,Maldivian,Other,Sophomore/Second Year,Not specified,No,Right,No,Dhivehi,Yes,English,English,Public school (SK),Public school (SK),No,Yes,No,Yes,6,No,Yes,Yes,No
SW-2740,27,20.836341008089608,Female,Malaysian,Chinese,Sophomore/Second Year,Software Engineering,No,Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Public school (SK),Public school (SK),No,Yes,No,No,9,No,No,No,No
SW-2741,29,19.16221765913758,Male,Malaysian,Chinese,Freshman/First Year,Not specified,"Yes, both parents",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Public school (SK),Public school (SK),Yes,Yes,No,Yes,8,No,No,Yes,Yes
SW-2742,53,21.263472308649657,Male,Malaysian,Chinese,Junior/Third Year,IT/Network Security/Data,No,Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,Yes,Yes,8,No,No,Yes,No
SW-2743,24,23.6249144421629,Male,Malaysian,Chinese,Junior/Third Year,IT/Network Security/Data,"Yes, both parents",Right,No,English,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,No,7,No,No,No,No
SW-2744,41,21.778809523809525,Male,Malaysian,Chinese,Junior/Third Year,IT/Network Security/Data,"Yes, father only",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Public school (SK),Public school (SK),Yes,No,Yes,Yes,8,No,No,Yes,No
SW-2746,28,18.520824326271796,Female,Malaysian,Chinese,Freshman/First Year,Psychology,"Yes, both parents",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,No,Yes,8,No,Yes,Yes,Yes
SW-2747,43,19.066392881587955,Female,Malaysian,Chinese,Freshman/First Year,Psychology,NA,Left,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,Yes,8,No,No,No,No
SW-2750,27,21.438705662725575,Female,Malaysian,Malay,Freshman/First Year,Psychology,"Yes, father only",Right,No,Malay,Yes,English,English,Public school (SK),Public school (SK),No,Yes,No,Yes,5,No,No,Yes,Yes
